variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
p50,4.610791274141298,0.5867591522922013,libero_sim/open_the_middle_drawer_of_the_cabinet,20,20,465,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_00_open_the_middle_drawer_of_the_cabinet.log,182.7,0.9,cka,107,107,1.0,400.0,1281.9919930007018,460.84200554210736,455.0030820009852,464.6079122008814,469.42579496088,0.9,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/00_open_the_middle_drawer_of_the_cabinet,0,792.488703727,39.62443518635,3,18,0.9,0,open_the_middle_drawer_of_the_cabinet,3654,,,
p50,4.430030620626299,0.5588587876578544,libero_sim/put_the_bowl_on_the_stove,20,20,780,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_01_put_the_bowl_on_the_stove.log,309.15,0.65,cka,192,192,1.0,400.0,472.93764400092186,455.6301106509864,455.6538269998782,463.94449859990345,466.7092508699898,0.65,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/01_put_the_bowl_on_the_stove,0,1395.701413712999,69.78507068564996,3,13,0.65,1,put_the_bowl_on_the_stove,6183,,,
p50,4.071928497082223,0.5172271634643277,libero_sim/put_the_wine_bottle_on_top_of_the_cabinet,20,20,471,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_02_put_the_wine_bottle_on_top_of_the_cabinet.log,185.4,0.85,cka,114,114,1.0,400.0,492.5905019990751,457.8905896490285,456.8163204994562,465.1712553996731,485.26830650051136,0.8571428571428571,21,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/02_put_the_wine_bottle_on_top_of_the_cabinet,0,910.6250275899984,45.53125137949992,3,17,0.85,2,put_the_wine_bottle_on_top_of_the_cabinet,3708,,,
p50,5.225478770794457,0.6553405719148164,libero_sim/open_the_top_drawer_and_put_the_bowl_inside,20,20,1254,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_03_open_the_top_drawer_and_put_the_bowl_inside.log,499.95,0.45,cka,270,270,1.0,400.0,488.3054609999817,457.0402316221589,456.87725850075367,466.42517394993774,472.4279606289201,0.45,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/03_open_the_top_drawer_and_put_the_bowl_inside,0,1913.5088742270016,95.67544371135008,3,9,0.45,3,open_the_top_drawer_and_put_the_bowl_inside,9999,,,
p50,3.92767727219704,0.5096315028801528,libero_sim/put_the_bowl_on_top_of_the_cabinet,20,20,232,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_04_put_the_bowl_on_top_of_the_cabinet.log,89.4,1.0,cka,52,52,1.0,400.0,477.46633700080565,457.5734911542476,457.48004149936605,463.5346787503295,471.55465619183815,1.0,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/04_put_the_bowl_on_top_of_the_cabinet,0,455.2308848430002,22.761544242150013,3,20,1.0,4,put_the_bowl_on_top_of_the_cabinet,1788,,,
p50,4.417180535908643,0.5587885171069997,libero_sim/push_the_plate_to_the_front_of_the_stove,20,20,589,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_05_push_the_plate_to_the_front_of_the_stove.log,232.8,0.85,cka,149,149,1.0,400.0,487.3063859995455,456.5542592350271,456.5482530015288,464.7348163984134,476.0111918387703,0.85,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/05_push_the_plate_to_the_front_of_the_stove,0,1054.0660410300006,52.70330205150003,3,17,0.85,5,push_the_plate_to_the_front_of_the_stove,4656,,,
p50,4.50082126872275,0.5665323628412657,libero_sim/put_the_cream_cheese_in_the_bowl,20,20,865,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_06_put_the_cream_cheese_in_the_bowl.log,343.6,0.6,cka,204,204,1.0,400.0,479.9092869980086,454.1367777647597,454.1779479986872,461.6233861519504,464.4358108800225,0.6,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/06_put_the_cream_cheese_in_the_bowl,0,1526.8324578350002,76.34162289175,3,12,0.6,6,put_the_cream_cheese_in_the_bowl,6872,,,
p50,3.5760470855065734,0.4737498275671101,libero_sim/turn_on_the_stove,20,20,186,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_07_turn_on_the_stove.log,70.2,1.0,cka,48,48,1.0,400.0,466.0607730002084,453.094553937414,453.2206429994403,460.92651854887663,464.0173192201837,1.0,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/07_turn_on_the_stove,0,392.6122801040001,19.630614005200005,3,20,1.0,7,turn_on_the_stove,1404,,,
p50,3.5476637673301568,0.4580527902122481,libero_sim/put_the_bowl_on_the_plate,20,20,204,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_08_put_the_bowl_on_the_plate.log,79.0,1.0,cka,49,49,1.0,400.0,464.9846730026184,453.9235036939558,454.4938449980691,462.6074785999663,464.0949526813347,1.0,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/08_put_the_bowl_on_the_plate,0,445.3635134620017,22.268175673100085,3,20,1.0,8,put_the_bowl_on_the_plate,1580,,,
p50,4.529247579010541,0.5784636853627593,libero_sim/put_the_wine_bottle_on_the_rack,20,20,423,/tmp/gr00t_p50_libero_goal_eval/logs/success_rate/cka_task_09_put_the_wine_bottle_on_the_rack.log,165.6,1.0,cka,95,95,1.0,400.0,466.7951030023687,454.9215447157238,454.6199960022932,463.0580943994573,466.6722873021354,1.0,20,/tmp/gr00t_p50_libero_goal_eval/rollouts/videos/cka/09_put_the_wine_bottle_on_the_rack,0,731.247286050002,36.5623643025001,3,20,1.0,9,put_the_wine_bottle_on_the_rack,3312,,,
