trajectory_id,step,seed,baseline_latency_ms,cka_p37_latency_ms,delta_latency_ms,baseline_peak_allocated_gib,cka_p37_peak_allocated_gib,delta_peak_allocated_gib,baseline_peak_reserved_gib,cka_p37_peak_reserved_gib,delta_peak_reserved_gib,baseline_mse,cka_p37_mse,delta_mse,baseline_mae,cka_p37_mae,delta_mae
23,24,23000066,203.97365499957232,158.26215600100113,-45.71149899857119,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0003284552658442408,0.0015130428364500403,0.0011845875706057996,0.01032459270209074,0.024258416146039963,0.013933823443949223
23,32,23000074,198.60075399992638,154.18449100070575,-44.416262999220635,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001957093772944063,0.0007049996056593955,0.0005092902283649892,0.007426288444548845,0.0176699161529541,0.010243627708405256
23,40,23000082,200.3626140030974,151.41094399950816,-48.95167000358924,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001348221121588722,0.009605097584426403,0.00947027547226753,0.006362549960613251,0.026194438338279724,0.019831888377666473
23,48,23000090,200.86430499941343,154.0248609999253,-46.83944399948814,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00010702839063014835,0.000693637237418443,0.0005866088467882946,0.005970235448330641,0.015468016266822815,0.009497780818492174
23,56,23000098,210.63797700116993,151.94987799986848,-58.68809900130145,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0011420582886785269,0.0026286093052476645,0.0014865510165691376,0.017038503661751747,0.02365303412079811,0.006614530459046364
49,0,49000042,205.83181900292402,149.50749000126962,-56.324329001654405,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0002063095016637817,0.028311265632510185,0.028104956130846404,0.007861441932618618,0.08854301273822784,0.08068157080560923
49,8,49000050,203.24984900071286,150.78931599964562,-52.46053300106723,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00040447377250529826,0.0015131791587918997,0.0011087053862866014,0.01037545781582594,0.022742394357919693,0.012366936542093754
49,16,49000058,197.90525899952627,153.8112389989692,-44.094020000557066,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,7.374057167908177e-05,0.001087356824427843,0.0010136162527487613,0.005162875633686781,0.018536074087023735,0.013373198453336954
49,24,49000066,196.1367030016845,153.42942799907178,-42.70727500261273,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,9.08532747416757e-05,0.0018093391554430127,0.001718485880701337,0.00537864537909627,0.02953062765300274,0.02415198227390647
49,32,49000074,194.88184999863734,149.37200100030168,-45.509848998335656,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,9.414468513568863e-05,0.0028514605946838856,0.002757315909548197,0.005526396445930004,0.03338777646422386,0.027861380018293858
49,40,49000082,202.47983900117106,156.17769500022405,-46.30214400094701,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0002466746373102069,0.0008575006504543126,0.0006108260131441057,0.007670905906707048,0.018324729055166245,0.010653823148459196
49,48,49000090,199.19575300082215,155.68972999972175,-43.5060230011004,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0002039511309703812,0.00977474544197321,0.009570794311002828,0.006845876108855009,0.028149569407105446,0.021303693298250437
49,56,49000098,201.6372100006265,146.72034300019732,-54.91686700042919,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00015602611529175192,0.0015911603113636374,0.0014351341960718855,0.006979524157941341,0.022483108565211296,0.015503584407269955
